smiles,docking_score
O=CN1CCN(CCCc2ccccc2)CC1,-6.772
CNCCc1c(O)cccc1O,-6.256
NC(C=O)C(O)C(O)CO,-4.753
O=C(O)CCc1cc(O)c2occc2c1,-7.408
Nc1cccc2[nH]ccc12,-6.477
CC(=O)OC[C@@H]1OC(=O)C=C1C,-6.022
O=CN[C@H](C=O)Cc1ccc2cc(-n3ccnc3)[nH]c2c1,-7.001
CO[C@@H]1C[C@@H](O)C[C@@H]([C@H](C)OC(C)=O)O1,-4.544
O=c1nc(O)c(C2OC(CO)C(O)C2O)co1,-5.57
O=C(CO)NCc1ccncc1,-6.138
C=C1C(=O)OC[C@H]1[C@H](C)OCCC,-6.035
CCC=CCc1ccc(CC(=O)OC)o1,-6.421
CCCC(C)C/C=C\C(=O)O,-5.78
O=C(CC[N+](=O)[O-])O[C@@H]1CCCO[C@H]1O,-5.811
OC1=N[C@@H]2Cc3ccccc3-c3cccc(c32)C1,-9.193
O=C(O[C@H]1C=C[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,-6.63
CCCCOC(=O)C(C=O)=C1CC(=O)O[C@]1(O)CCC=O,-5.692
CC(CO)[C@@H]1C[C@@H](O)[C@H](C)[C@H]1CO,-6.198
CCc1cc(C(=O)C2CC=C(C)CC2)ccc1O,-8.227
O=c1c2ccccc2[nH]c2cc3ccccc3n12,-9.424
C/C=C\C=C\C[C@H](OC(=O)CC)[C@H](C)[C@@H](O)/C(C)=C\CC,-5.114
C[C@H]1OC(O)[C@@H](OC2OC[C@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,-2.926
C=C(CCO)CC[C@H]1C(C)=CC[C@H]2C(C)(C)CCC[C@]12C,-3.605
CC(=O)O[C@H]1C[C@@H]2[C@H](O)C[C@@H]3C[C@]2(OC3(C)C)[C@@](C)(O)C1,-2.646
Cc1cc2c(=O)oc3c(O)cccc3c2oc1=O,-9.021
N[CH]c1ccc(O)c(O)c1,-6.001
COc1cccc([C@H](O)[C@@H]2C(=O)N(C)c3ccccc32)c1,-5.89
O=C1[C@@H](O)[C@H](c2ccccc2)[C@H](CO)N1CO,-6.07
C[C@H]1O[C@]23C[C@H]1C[C@@H](COC=O)[C@@H]2CC[C@H](O)[C@]3(C)O,-0.759
CC/C(C)=C/C(=O)[C@@H](O)CC,-5.989
CC1(C)O[C@@]23[C@H](CC[C@@H]1[C@H]2O)C[C@@H](O)CC3(C)C,-3.121
CCc1c(OCCCO)cc(O)c2c1[O+]=CCC2=O,-6.697
CC[C@]1(C)O[C@@H]1CC/C(C)=C/[C@@H]1C=C(C)CC[C@]1(C)C=O,-4.722
CC1=CC[C@@H]2C(C=O)=CO[C@@H](O[C@@H]3CC[C@@H](O)CO3)[C@H]12,-6.305
CC(=O)OCCCC(O)[C@H](O)[C@H](C)O,-5.775
CCC[C@@H](NC(=O)C(C)O)C(=O)O,-5.621
O=c1ccoc2cc(O)c(Oc3ccccc3)cc12,-8.996
CCC(=O)C[C@@H](O)C[C@@H](C)CCC(=O)N[C@H](C)C=O,-6.1
Cc1c(O)cc2c(=O)oc(C[C@@H](C)O)cc2c1C,-7.381
O=c1[nH]cnc2c1ncn2[C@@H]1CCCO1,-6.816
C[C@@H]1[C@@H]2CCC[C@@](C)(C(=O)O)C2=CC[C@@H]1C,-4.338
CC(=O)O[C@@H](C[C@@H](O)/C=C\[C@@H]1CC=CC(=O)O1)[C@H](C)O,-5.201
CC(=O)Nc1c(C(=O)O)[nH]c2ccccc12,-8.558
C/C(=C/[C@@H]1CC[C@H](C)[C@@H]1OC(=O)c1ccccc1)[C@H](C)O,-6.158
CCC[C@@H]1OC(=O)[C@H](C)[C@H]1C[C@@H]1O[C@@H]1C,-5.805
C/C=C/[C@H](OC)[C@H](CC)OC(N)=O,-5.514
O=CO[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1OS(=O)(=O)O,-5.522
N[C@@H]1COC[C@H](O[C@H]2OC[C@@H](O)[C@@H]3NC(=O)N[C@H]23)[C@H]1O,-5.491
C=C1C(=O)OCC1COC(=O)CC,-6.319
O=C(Nc1ccccc1)[C@H]1Nc2ccccc2C1=O,-7.922
CC[C@@H](O)C/C=C(/C)[C@@H](O)COC(=O)[C@@]1(C)O[C@@H]1C,-5.925
C/C(=C\CC(=O)O)[C@@H]1OCCC[C@H]1C,-6.989
COc1cccc(CCN=C(N)Nc2nc(C)cc(C)n2)c1,-8.615
CC/C=C/C=C(\C)C=CC1=C(C)CCCC1(C)C,-5.413
C[C@H]1C[C@@H](NC2CCNCC2)[C@H](O)[C@@H]1O,-6.154
